'longitud';'latitud';'tipo_contribuyente';'rif_ci';'razon_social';'direccion';'tipo_inmueble';'tipo_propiedad';'nivel';'npiso';'unidad';'foto_local';         'id_punto'
-62,794730023;8,271629401;"J";"317492544";"LIDERA C.A";"UD 304ZONA IND LOS PINOS  MANZ  26";"INDUSTRIAL";"HORIZONTAL";"PB";0;"PARCELA 13";"C:\Users\sisvencorp 4\Desktop\DATA GPS MOVIL\FEBRERO\PZO1\26\PZO1022608A~files\img0272236.jpg";223
-62,794316434;8,271991779;"J";"310693277";"MERCAPAN S.A";"UD 304ZONA LOS PINOS MANZ  26";"INDUSTRIAL";"HORIZONTAL";"PB";0;"PARCELA 01";"C:\Users\sisvencorp 4\Desktop\DATA GPS MOVIL\FEBRERO\PZO1\26\PZO1022608A~files\img0273237.jpg";224
-62,793804154;8,270898049;"J";"308536725";"SUPER AUTOS PUERTO ORDAZ C.A [ SUCURSAL ]";"UD 304ZONA IND LOS PINOS MANZ  27";"INDUSTRIAL";"HORIZONTAL";"PB";0;"PARCELA  19 P\O";"C:\Users\sisvencorp 4\Desktop\DATA GPS MOVIL\FEBRERO\PZO1\26\PZO1022608A~files\img0274238.jpg";225
-62,794001346;8,269416257;"J";"003349593";"F.H TRANSMISIONES S.A";"UD 304ZONA IND LOS PINOS MANZ  27-14";"INDUSTRIAL";"HORIZONTAL";"PB";0;"GALPON 02";"C:\Users\sisvencorp 4\Desktop\DATA GPS MOVIL\FEBRERO\PZO1\26\PZO1022608A~files\img0283239.jpg";226
-62,792717594;8,27056031;"J";"306893644";"BELLAAUTO C.A";"UD 304ZONA IND LOS PINOS MANZ 27";"INDUSTRIAL";"HORIZONTAL";"PB";0;"PARCELA 05";"C:\Users\sisvencorp 4\Desktop\DATA GPS MOVIL\FEBRERO\PZO1\26\PZO1022608A~files\img0284240.jpg";227
-62,792429329;8,270871831;"J";"309695185";"DFE C.A";"UD 304ZONA IND LOS PINOS MANZ  35";"INDUSTRIAL";"HORIZONTAL";"PB";0;"PARCELA  7Y8  GALPON 8";"C:\Users\sisvencorp 4\Desktop\DATA GPS MOVIL\FEBRERO\PZO1\26\PZO1022608A~files\img0285241.jpg";228
-62,791567114;8,271002962;"J";"308148288";"IRON STEEL DE GUAYANA   C.A";"UD 304ZONA IND LOS PINOS MANZ 35";"INDUSTRIAL";"HORIZONTAL";"PB";0;"PARCELA  05";"C:\Users\sisvencorp 4\Desktop\DATA GPS MOVIL\FEBRERO\PZO1\26\PZO1022608A~files\img0286242.jpg";229
-62,794904415;8,268145907;"J";"311412760";"SECADO E INSTALACIONES  DE REFRACTARIOS";"UD 304ZONA IND LOS PINOS MANZ  36";"INDUSTRIAL";"HORIZONTAL";"PB";0;"PARCELA  3";"C:\Users\sisvencorp 4\Desktop\DATA GPS MOVIL\FEBRERO\PZO1\26\PZO1022608A~files\img0287243.jpg";230
-62,795320742;8,267752054;"J";"306680470";"ALUMINIO MECANIZADO C.A";"UD 304ZONA IND LOS PINOS MANZ 25";"INDUSTRIAL";"HORIZONTAL";"PB";0;"PARCELA  03";"C:\Users\sisvencorp 4\Desktop\DATA GPS MOVIL\FEBRERO\PZO1\26\PZO1022614A~files\img0288244.jpg";231
-62,795808866;8,267991935;"J";"311801782";"ENDURIDE VENEZUELA C.A";"UD 304ZONA IND LOS PINOS MANZ  25";"INDUSTRIAL";"HORIZONTAL";"PB";0;"PARCELA  10  GALPON  04";"C:\Users\sisvencorp 4\Desktop\DATA GPS MOVIL\FEBRERO\PZO1\26\PZO1022614A~files\img0289245.jpg";232
-62,796089893;8,266943334;"J";"304790783";"INVERSIONES  CERCRA C.A";"UD 304ZONA LOS PINOS MANZ  22";"INDUSTRIAL";"HORIZONTAL";"PB";0;"PARCELA 13 A GALPON  10-2";"C:\Users\sisvencorp 4\Desktop\DATA GPS MOVIL\FEBRERO\PZO1\26\PZO1022614A~files\img0290246.jpg";233
-62,796059532;8,268422477;"J";"095151344";"FRESAS Y TORNOS C.A";"UD 304ZONA LOS PINOS MANZ   CALLE 07";"INDUSTRIAL";"HORIZONTAL";"PB";0;"LOCAL  22-13";"C:\Users\sisvencorp 4\Desktop\DATA GPS MOVIL\FEBRERO\PZO1\26\PZO1022614A~files\img0291247.jpg";234
-62,797051977;8,268815137;"J";"303089895";"DISTRIBUIDORA  DE LACTEO LA LLOVIZNA C.A";"UD 304ZONA LOS PINOS MANZ  22CALLE 06";"INDUSTRIAL";"HORIZONTAL";"PB";0;"PARCELA  01";"C:\Users\sisvencorp 4\Desktop\DATA GPS MOVIL\FEBRERO\PZO1\26\PZO1022614A~files\img0292248.jpg";235
-62,797047144;8,268902203;"J";"299229261";"LACTEO  LOS PINOS  DEL CARONI C.A";"UD 304ZONA LOS PINOS MANZ  22 CALLE 6";"INDUSTRIAL";"HORIZONTAL";"PB";0;"GALPON 02";"C:\Users\sisvencorp 4\Desktop\DATA GPS MOVIL\FEBRERO\PZO1\26\PZO1022614A~files\img0293249.jpg";236
-62,798218779;8,269001908;"J";"304237596";"E.S EMPRESA  DE SERVICIO  C.A";"UD 304ZONA LOS PINOS MANZ 10 CALE 6";"INDUSTRIAL";"HORIZONTAL";"PB";0;"PARCELA  27";"C:\Users\sisvencorp 4\Desktop\DATA GPS MOVIL\FEBRERO\PZO1\27\PZO1022708A~files\img0294250.jpg";237
-62,79956545;8,267632998;"J";"298179074";"ENGINE KTMC.A";"UD 304ZONA LOS PINOS MANZ  11";"INDUSTRIAL";"HORIZONTAL";"PB";0;"CASA NUMERO  16 PO";"C:\Users\sisvencorp 4\Desktop\DATA GPS MOVIL\FEBRERO\PZO1\27\PZO1022708A~files\img0295251.jpg";238
-62,799115405;8,267402114;"J";"080280580";"REPRESENTACIONES  ANGOTURA C.A";"UD 304ZONA LOS PINOS MANZ  11";"INDUSTRIAL";"HORIZONTAL";"PB";0;"PARCELA  14 GALPON  1-A";"C:\Users\sisvencorp 4\Desktop\DATA GPS MOVIL\FEBRERO\PZO1\27\PZO1022708A~files\img0296252.jpg";239
-62,799105184;8,267387584;"J";"296373868";"CONFLUVENSA S..A";"UD 304ZONA LOS PINOS MANZ 11NO 14 ENTRANDO POR AUTO LAVADO LOS PINOS ALL";"INDUSTRIAL";"HORIZONTAL";"PB";0;"GALPON 1 _B SIN PATENTE";"C:\Users\sisvencorp 4\Desktop\DATA GPS MOVIL\FEBRERO\PZO1\27\PZO1022708A~files\img0297253.jpg";240
-62,796966588;8,267976278;"J";"303756603";"PROYECTOS  Y CONSTRUCCIONES  PAYLOADER PADRE & HIJOS C.A";"UD 304ZONA IND LOS PINOS MANZ 10";"INDUSTRIAL";"HORIZONTAL";"PB";0;"GALPON  SIN NUMERO";"C:\Users\sisvencorp 4\Desktop\DATA GPS MOVIL\FEBRERO\PZO1\27\PZO1022708A~files\img0298254.jpg";241
-62,796123686;8,26621409;"J";"315081733";"CONGELADOS PRIMAVERA C.A";"UD 304ZONA LOS PINOS MANZ  24";"INDUSTRIAL";"HORIZONTAL";"PB";0;"PARCELA  8  GALPON  03";"C:\Users\sisvencorp 4\Desktop\DATA GPS MOVIL\FEBRERO\PZO1\27\PZO1022708A~files\img0299255.jpg";242
-62,796181073;8,265799828;"J";"095090744";"ROMILCA";"UD 304ZONA IND LOS PINOS MANZ  37";"INDUSTRIAL";"HORIZONTAL";"PB";0;"GALPON 08";"C:\Users\sisvencorp 4\Desktop\DATA GPS MOVIL\FEBRERO\PZO1\27\PZO1022708A~files\img0300256.jpg";243
-62,796201572;8,265824427;"J";"310068348";"ROMIPLAST C,A";"UD 304ZONA LOS PINOS MANZ  37";"INDUSTRIAL";"HORIZONTAL";"PB";0;"PARCELA  08 GALPON  08";"C:\Users\sisvencorp 4\Desktop\DATA GPS MOVIL\FEBRERO\PZO1\27\PZO1022708A~files\img0301257.jpg";244
-62,791330374;8,26965941;"J";"316643255";"TRUMARCA TRUCK MACHINERY C.A";"AV CARACAS EDIFICIO  TRUMACA";"INDUSTRIAL";"HORIZONTAL";"PB";0;"LOCAL  46";"C:\Users\sisvencorp 4\Desktop\DATA GPS MOVIL\FEBRERO\PZO1\27\PZO1022708A~files\img0302258.jpg";245
-62,789215705;8,271772435;"J";"314820389";"MB CAMIONES DE GUAYANA C.A";"UD 304ZONA LOS PINOS  AV CARACAS MANZ  36";"INDUSTRIAL";"HORIZONTAL";"PB";0;"PARCELA  38";"C:\Users\sisvencorp 4\Desktop\DATA GPS MOVIL\FEBRERO\PZO1\27\PZO1022708A~files\img0303259.jpg";246
-62,786897689;8,274487538;"J";"294950566";"SUPER  AUTOS CAMIONES PUERTO ORDAZ  C.A";"UD 304ZONA LOS PINOS";"INDUSTRIAL";"HORIZONTAL";"PB";0;"PARCELA  30-21, A LA 30-28,P.O";"C:\Users\sisvencorp 4\Desktop\DATA GPS MOVIL\FEBRERO\PZO1\28\PZO1022809A~files\img0304260.jpg";247
-62,786017733;8,275402568;"J";"296179255";"YUMAGLIS GOURMET  C.A";"UD 304ZONA LOS PINOS  CC AUTANA";"COMERCIAL";"HORIZONTAL";"PB";0;"LOCAL  01";"C:\Users\sisvencorp 4\Desktop\DATA GPS MOVIL\FEBRERO\PZO1\28\PZO1022809A~files\img0305261.jpg";248
-62,814063875;8,262409085;"J";"315166380";"PETRO SERVICIOS C.A";"UD 506 ZONA IND  MATANZAS AVDA  NORTE  SUR 07";"INDUSTRIAL";"HORIZONTAL";"PB";0;"PARCELA  01-03";"C:\Users\sisvencorp 4\Desktop\DATA GPS MOVIL\MARZO\PZO 1\01\PZO1030108A~files\img0312262.jpg";249
-62,818561231;8,265818058;"J";"095039897";"BANCO DEL  SUR C.A [SULCUSAL CARBONORCA]";"UD 508 ZONA IND  MATANZAS";"INDUSTRIAL";"HORIZONTAL";"PB";0;"AL LADO  DE CARBONORCA";"C:\Users\sisvencorp 4\Desktop\DATA GPS MOVIL\MARZO\PZO 1\01\PZO1030108A~files\img0316263.jpg";250
-62,807262692;8,275252533;"J";"314777246";"CORPORACION  S.P.S C.A";"ZONA IND MATANZAS  [AL LADO DE PIAMECA]";"INDUSTRIAL";"HORIZONTAL";"PB";0;"SIN NUMERO";"C:\Users\sisvencorp 4\Desktop\DATA GPS MOVIL\MARZO\PZO 1\01\PZO1030108A~files\img0326264.jpg";251
-62,800849468;8,275730811;"J";"095003159";"TALLER INDUSTRIAL METALURGICO ANTONIO, C.A.";"UD-503 ZONA INDUSTRIAL MATANZAS, CALLE NORTE-SUR,  ESTRE DSD Y HIERRO VE";"INDUSTRIAL";"HORIZONTAL";"PB";0;"SIN NUMERO";"C:\Users\sisvencorp 4\Desktop\DATA GPS MOVIL\MARZO\PZO 1\04\PZO1030410A~files\img0329265.jpg";252
-62,805401869;8,272334614;"J";"315655845";"EL GUSTICO ORIENTAL, C.A.";"UD-504 ZONA INDUSTRIAL MATANZAS,  AVENIDA FUERZAS ARMADAS";"COMERCIAL";"HORIZONTAL";"PB";0;"LOCAL  S/N ,P/O";"C:\Users\sisvencorp 4\Desktop\DATA GPS MOVIL\MARZO\PZO 1\04\PZO1030410A~files\img0330266.jpg";253
-62,798852846;8,275754733;"J";"310632782";"SERVICAUCHOS BARINAS, C.A.";"ZONA INDUSTRIAL MATANZAS, CALLE EL PARDILLO";"INDUSTRIAL";"HORIZONTAL";"PB";0;"LOCAL  10";"C:\Users\sisvencorp 4\Desktop\DATA GPS MOVIL\MARZO\PZO 1\04\PZO1030410A~files\img0331267.jpg";254
-62,797823117;8,276936737;"J";"302046750";"SERVICIO TECNICO DIESEL PUERTO ORDAZ, C.A.";"ZONA INDUSTRIAL MATANZAS, CALLE EL SAMAN";"INDUSTRIAL";"HORIZONTAL";"PB";0;"PARCELA  14";"C:\Users\sisvencorp 4\Desktop\DATA GPS MOVIL\MARZO\PZO 1\04\PZO1030410A~files\img0332268.jpg";255
-62,797320715;8,277395993;"J";"002822309";"TRANSPORTE SANCHEZ POLO DE VENEZUELA, C.A.";"ZONA INDUSTRIAL MATANZAS,  MANZANA  00";"INDUSTRIAL";"HORIZONTAL";"PB";0;"PARCELA 14";"C:\Users\sisvencorp 4\Desktop\DATA GPS MOVIL\MARZO\PZO 1\04\PZO1030410A~files\img0333269.jpg";256
-62,796618796;8,278160504;"J";"313197718";"VIDRIOS ORINOKIA C.A";"ZONA INDUSTRIAL MATANZAS,  CALLE  PARDILLO";"INDUSTRIAL";"HORIZONTAL";"PB";0;"GALPON 1";"C:\Users\sisvencorp 4\Desktop\DATA GPS MOVIL\MARZO\PZO 1\04\PZO1030410A~files\img0335270.jpg";257
-62,796202158;8,278630195;"J";"316928926";"EN RUEDAS, C.A";"ZONA INDUSTRIAL MATANZAS,  CALLE PARDILLO,  PARCELA 17";"INDUSTRIAL";"HORIZONTAL";"PB";0;"GALPON  04";"C:\Users\sisvencorp 4\Desktop\DATA GPS MOVIL\MARZO\PZO 1\04\PZO1030410A~files\img0336271.jpg";258
-62,79770982;8,279146327;"J";"306419349";"COMERCIALIZADORA DE METALES CUYUNI, C.A.";"ZONA INDUSTRIAL MATANZAS, MANZANA NRO.  06";"INDUSTRIAL";"HORIZONTAL";"PB";0;"GALPON  S/N";"C:\Users\sisvencorp 4\Desktop\DATA GPS MOVIL\MARZO\PZO 1\04\PZO1030410A~files\img0337272.jpg";259
